HomeTeam,AwayTeam,Season,rugbypassURL,Round,HomeScore,AwayScore
leicester,saracens,21/22,,3,13,12
newcastle,wasps,21/22,,3,18,14
worcester,gloucester,21/22,,3,23,31
northampton,london-irish,21/22,,3,23,21
bristol,bath,21/22,,3,25,20
wasps,northampton,21/22,,4,26,20
exeter-chiefs,worcester,21/22,,4,42,5
gloucester,sale,21/22,,4,33,32
london-irish,leicester,21/22,,4,16,21
saracens,newcastle,21/22,,4,37,23
harlequins,bristol,21/22,,4,52,24
bath,saracens,21/22,,5,17,71
london-irish,gloucester,21/22,,5,25,25
newcastle,bristol,21/22,,5,13,5
wasps,exeter-chiefs,21/22,,5,23,27
worcester,leicester,21/22,,5,3,48
sale,harlequins,21/22,,5,28,22
saracens,wasps,21/22,,6,56,15
exeter-chiefs,london-irish,21/22,,6,21,33
gloucester,newcastle,21/22,,6,29,20
harlequins,bath,21/22,,6,31,17
leicester,sale,21/22,,6,19,11
northampton,worcester,21/22,,6,66,10
harlequins,saracens,21/22,,7,22,29
bath,wasps,21/22,,7,17,27
london-irish,bristol,21/22,,7,33,45
northampton,leicester,21/22,,7,26,55
worcester,sale,21/22,,7,27,14
gloucester,exeter-chiefs,21/22,,7,13,16
wasps,harlequins,21/22,,8,16,26
exeter-chiefs,newcastle,21/22,,8,14,15
sale,northampton,21/22,,8,30,6
bristol,worcester,21/22,,8,27,5
saracens,london-irish,21/22,,8,34,34
leicester,bath,21/22,,8,40,23
saracens,sale,21/22,,9,25,14
newcastle,worcester,21/22,,9,24,24
harlequins,london-irish,21/22,,9,19,22
bath,exeter-chiefs,21/22,,9,16,23
bristol,northampton,21/22,,9,20,36
wasps,gloucester,21/22,,9,33,35
leicester,harlequins,21/22,,10,16,14
exeter-chiefs,saracens,21/22,,10,18,15
london-irish,newcastle,21/22,,10,43,21
northampton,bath,21/22,,10,40,19
worcester,wasps,21/22,,10,32,31
gloucester,bristol,21/22,,10,27,10
harlequins,northampton,21/22,,11,41,27
bath,gloucester,21/22,,11,20,40
newcastle,sale,21/22,,11,20,0
saracens,worcester,21/22,,11,61,29
wasps,london-irish,21/22,,11,38,30
bristol,leicester,21/22,,11,26,28
london-irish,bath,21/22,,12,20,0
gloucester,harlequins,21/22,,12,17,20
leicester,newcastle,21/22,,12,31,0
northampton,saracens,21/22,,12,6,30
exeter-chiefs,bristol,21/22,,12,19,13
sale,wasps,21/22,,12,26,18
bath,worcester,21/22,,13,22,19
wasps,leicester,21/22,,13,16,13
harlequins,exeter-chiefs,21/22,,13,14,12
newcastle,northampton,21/22,,13,8,44
saracens,gloucester,21/22,,13,24,25
bristol,sale,21/22,,13,32,15
sale,leicester,21/22,,14,35,26
wasps,saracens,21/22,,14,26,20
newcastle,gloucester,21/22,,14,22,32
london-irish,exeter-chiefs,21/22,,14,18,14
worcester,northampton,21/22,,14,13,19
bath,harlequins,21/22,,14,21,17
harlequins,sale,21/22,,15,14,36
leicester,worcester,21/22,,15,36,16
saracens,bath,21/22,,15,40,3
exeter-chiefs,wasps,21/22,,15,26,27
bristol,newcastle,21/22,,15,37,21
gloucester,london-irish,21/22,,15,24,7
saracens,harlequins,21/22,,16,19,10
exeter-chiefs,gloucester,21/22,,16,24,15
sale,worcester,21/22,,16,36,12
wasps,bath,21/22,,16,41,24
bristol,london-irish,21/22,,16,32,49
leicester,northampton,21/22,,16,35,20
newcastle,exeter-chiefs,21/22,,17,14,15
bath,leicester,21/22,,17,20,24
harlequins,wasps,21/22,,17,29,24
london-irish,saracens,21/22,,17,23,30
northampton,sale,21/22,,17,21,22
worcester,bristol,21/22,,17,19,14
northampton,exeter-chiefs,21/22,,18,31,34
leicester,gloucester,21/22,,18,35,23
newcastle,bath,21/22,,18,25,30
bristol,wasps,21/22,,18,31,19
sale,london-irish,21/22,,18,27,27
worcester,harlequins,21/22,,18,21,29
exeter-chiefs,sale,21/22,,19,19,12
bath,bristol,21/22,,19,29,27
gloucester,northampton,21/22,,19,35,30
london-irish,worcester,21/22,,19,43,12
saracens,leicester,21/22,,19,34,27
harlequins,newcastle,21/22,,19,24,10
bristol,harlequins,21/22,,20,29,38
northampton,wasps,21/22,,20,27,22
leicester,london-irish,21/22,,20,47,28
newcastle,saracens,21/22,,20,21,36
sale,gloucester,21/22,,20,26,24
worcester,exeter-chiefs,21/22,,20,35,31
exeter-chiefs,leicester,21/22,,21,17,22
bath,sale,21/22,,21,24,24
london-irish,northampton,21/22,,21,22,42
saracens,bristol,21/22,,21,27,23
wasps,newcastle,21/22,,21,27,24
gloucester,worcester,21/22,,21,20,0
london-irish,harlequins,21/22,,22,14,41
exeter-chiefs,bath,21/22,,22,42,22
gloucester,wasps,21/22,,22,21,27
northampton,bristol,21/22,,22,39,22
worcester,newcastle,21/22,,22,10,45
sale,saracens,21/22,,22,12,18
saracens,exeter-chiefs,21/22,,23,38,22
bath,northampton,21/22,,23,31,36
harlequins,leicester,21/22,,23,26,20
wasps,worcester,21/22,,23,41,12
bristol,gloucester,21/22,,23,29,28
newcastle,london-irish,21/22,,23,14,42
london-irish,wasps,21/22,,24,42,42
gloucester,bath,21/22,,24,64,0
leicester,bristol,21/22,,24,56,26
worcester,saracens,21/22,,24,16,38
northampton,harlequins,21/22,,24,32,31
sale,newcastle,21/22,,24,35,27
saracens,northampton,21/22,,25,42,38
bath,london-irish,21/22,,25,27,24
harlequins,gloucester,21/22,,25,28,24
newcastle,leicester,21/22,,25,5,27
bristol,exeter-chiefs,21/22,,25,40,33
wasps,sale,21/22,,25,7,16
exeter-chiefs,harlequins,21/22,,26,47,38
gloucester,saracens,21/22,,26,54,7
leicester,wasps,21/22,,26,20,10
northampton,newcastle,21/22,,26,65,26
sale,bristol,21/22,,26,42,19
worcester,bath,21/22,,26,43,27
leicester,northampton,21/22,,SF,27,14
saracens,harlequins,21/22,,SF,34,17
leicester,saracens,21/22,,F,15,12
gloucester,wasps,22/23,https://www.rugbypass.com/live/gloucester-vs-wasps/?g=932443,1,27,21
sale,northampton,22/23,,1,29,22
bristol,bath,22/23,,1,31,29
